time,rsds_mean,rsds_stdev,rsds_min,rsds_max
1951-06-09 12:00:00,314.28784,4.5379786,305.2108,321.82767
1951-06-10 12:00:00,147.10974,3.4498923,141.7325,154.01367
1951-06-11 12:00:00,218.14005,4.144385,211.60306,228.14865
1951-06-12 12:00:00,233.82668,3.3492558,226.26085,240.44705
1951-06-13 12:00:00,154.77219,10.67075,120.51172,170.33612
1951-06-14 12:00:00,296.5372,3.5574505,289.05536,300.91324
1951-06-15 12:00:00,226.56418,9.249455,211.80649,247.3637
1951-06-16 12:00:00,167.04369,12.25096,137.6036,186.2082
1951-06-17 12:00:00,196.8091,6.5600743,184.87427,210.07849
1951-06-18 12:00:00,100.09502,4.124363,88.30858,105.88605
1951-06-19 12:00:00,176.75726,11.889982,156.58377,197.81747
1951-06-20 12:00:00,321.6313,15.154155,268.3858,337.92487
1951-06-21 12:00:00,278.5589,9.770375,259.77316,295.66452
1951-06-22 12:00:00,199.46156,5.791238,191.47745,209.91237
1951-06-23 12:00:00,208.82243,6.127539,197.44118,221.84291
1951-06-24 12:00:00,159.49861,12.27346,136.48555,175.13365
1951-06-25 12:00:00,161.4617,4.429355,155.74107,173.47757
1951-06-26 12:00:00,180.94965,3.8796473,174.31714,190.71852
1951-06-27 12:00:00,130.55095,8.724007,109.508575,142.32605
1951-06-28 12:00:00,122.987045,6.096625,114.37124,139.56834
1951-06-29 12:00:00,133.64232,6.8502803,123.293884,149.39091
1951-06-30 12:00:00,138.62363,5.4161544,124.057434,149.72029
1951-07-01 12:00:00,214.23837,12.102192,191.30043,238.32791
1951-07-02 12:00:00,298.07565,3.9322019,291.75854,306.5727
1951-07-03 12:00:00,135.6012,7.028431,124.79361,153.91003
1951-07-04 12:00:00,104.12586,8.217171,91.63015,118.119675
1951-07-05 12:00:00,155.42017,6.23489,147.55753,168.06433
1951-07-06 12:00:00,163.04514,7.6007767,147.335,171.04515
1951-07-07 12:00:00,279.30435,4.043902,270.68298,285.90305
1951-07-08 12:00:00,252.74281,3.163226,245.01334,256.84424
1951-07-09 12:00:00,185.37228,6.5712113,172.65025,194.8353
1951-07-10 12:00:00,274.7058,6.622306,261.9715,288.13824
1951-07-11 12:00:00,281.36588,3.454238,275.50223,288.03854
1951-07-12 12:00:00,245.90175,10.279997,214.6215,256.5601
1951-07-13 12:00:00,228.23827,2.868172,221.71513,234.01201
1951-07-14 12:00:00,99.430504,4.129646,90.68936,108.75329
1951-07-15 12:00:00,69.79481,3.9105062,65.147896,80.36002
1951-07-16 12:00:00,119.20908,4.866947,110.4996,127.68062
1951-07-17 12:00:00,269.93463,7.9322248,254.28514,289.1638
1951-07-18 12:00:00,112.43126,4.0098214,105.67611,121.13146
1951-07-19 12:00:00,179.12872,4.4254303,170.61453,186.21294
1951-07-20 12:00:00,120.215385,8.7608595,106.278175,137.79854
1951-07-21 12:00:00,162.49908,5.0254965,154.59108,175.37543
1951-07-22 12:00:00,281.74338,15.417412,248.0341,301.42212
1951-07-23 12:00:00,180.19127,7.029044,165.85411,189.74588
1951-07-24 12:00:00,148.14917,3.3248034,141.00569,153.81374
1951-07-25 12:00:00,103.028206,4.020818,90.30828,108.32119
1951-07-26 12:00:00,147.18304,10.820017,133.49573,172.28247
1951-07-27 12:00:00,244.15735,5.84864,227.17053,253.05455
1951-07-28 12:00:00,248.68779,5.560886,237.19888,260.88278
1951-07-29 12:00:00,197.13882,6.2270145,180.70113,206.76297
1951-07-30 12:00:00,269.9001,10.132108,244.33475,282.91772
1951-07-31 12:00:00,269.57535,2.8561585,264.99744,276.1993
1951-08-01 12:00:00,201.1829,4.9360123,193.26843,209.89577
1951-08-02 12:00:00,208.83409,8.273847,189.99007,218.98352
1951-08-03 12:00:00,193.78218,23.401962,139.89577,230.00261
1951-08-04 12:00:00,179.20604,2.9984539,174.46587,184.35979
1951-08-05 12:00:00,177.36397,7.220906,161.91792,190.21436
1951-08-06 12:00:00,268.6953,3.123729,260.11615,272.62637
1951-08-07 12:00:00,168.47662,5.522644,157.70851,180.18242
1951-08-08 12:00:00,93.76094,2.6502094,87.88792,99.30866
1951-08-09 12:00:00,157.65549,6.18376,146.00255,169.0414
1951-08-10 12:00:00,150.44759,16.301825,108.27245,174.99461
1951-08-11 12:00:00,144.6825,11.338123,128.79909,167.3133
1951-08-12 12:00:00,176.68849,4.2508273,166.65273,183.92819
1951-08-13 12:00:00,230.35176,8.752541,214.78647,246.64
1951-08-14 12:00:00,143.49402,3.3672717,136.7254,148.65831
1951-08-15 12:00:00,126.376396,2.8594058,120.43189,131.36914
1951-08-16 12:00:00,224.52979,9.062339,202.27539,235.96088
1951-08-17 12:00:00,184.78845,2.9985843,180.01006,191.9375
