time,pr_mean,pr_stdev,pr_min,pr_max
1951-08-28 18:00:00,2.2544117,0.39757863,1.1,3.0
1951-08-29 18:00:00,0.0,0.0,0.0,0.0
1951-08-30 18:00:00,5.2235293,2.2734475,0.4,10.0
1951-08-31 18:00:00,10.847059,4.424812,0.8,19.4
1951-09-01 18:00:00,5.4632354,1.4966536,2.8,7.9
1951-09-02 18:00:00,8.136765,1.2427323,5.1,10.3
1951-09-03 18:00:00,10.198529,1.9898635,7.0,15.5
1951-09-04 18:00:00,0.0,0.0,0.0,0.0
1951-09-05 18:00:00,0.0,0.0,0.0,0.0
1951-09-06 18:00:00,0.0,0.0,0.0,0.0
1951-09-07 18:00:00,0.0,0.0,0.0,0.0
1951-09-08 18:00:00,0.0,0.0,0.0,0.0
1951-09-09 18:00:00,0.0,0.0,0.0,0.0
1951-09-10 18:00:00,0.016176471,0.03682348,0.0,0.1
1951-09-11 18:00:00,0.022058824,0.048036717,0.0,0.2
1951-09-12 18:00:00,0.0,0.0,0.0,0.0
1951-09-13 18:00:00,5.829412,1.3733877,3.3,8.5
1951-09-14 18:00:00,4.9632354,1.5384202,2.6,7.7
1951-09-15 18:00:00,4.0411763,0.78949636,2.8,6.1
1951-09-16 18:00:00,9.479412,1.3044673,7.2,13.8
1951-09-17 18:00:00,1.6029412,0.60947675,0.6,3.1
1951-09-18 18:00:00,8.466176,1.5811026,4.7,10.7
1951-09-19 18:00:00,6.0264707,2.4597716,2.4,12.8
1951-09-20 18:00:00,4.320588,1.2790804,2.4,6.5
1951-09-21 18:00:00,0.005882353,0.023529412,0.0,0.1
1951-09-22 18:00:00,0.0,0.0,0.0,0.0
1951-09-23 18:00:00,12.104412,1.6355817,8.7,14.8
1951-09-24 18:00:00,1.0235294,0.82357144,0.0,2.3
1951-09-25 18:00:00,0.0,0.0,0.0,0.0
1951-09-26 18:00:00,1.4617647,0.5113504,0.1,2.2
1951-09-27 18:00:00,0.0,0.0,0.0,0.0
1951-09-28 18:00:00,0.0,0.0,0.0,0.0
1951-09-29 18:00:00,1.9941176,0.15613188,1.6,2.4
1951-09-30 18:00:00,0.0,0.0,0.0,0.0
1951-10-01 18:00:00,0.007352941,0.026100352,0.0,0.1
1951-10-02 18:00:00,0.0,0.0,0.0,0.0
1951-10-03 18:00:00,0.0,0.0,0.0,0.0
1951-10-04 18:00:00,0.0,0.0,0.0,0.0
1951-10-05 18:00:00,0.0,0.0,0.0,0.0
1951-10-06 18:00:00,0.030882353,0.05754117,0.0,0.2
1951-10-07 18:00:00,0.0,0.0,0.0,0.0
1951-10-08 18:00:00,0.0,0.0,0.0,0.0
1951-10-09 18:00:00,0.0,0.0,0.0,0.0
1951-10-10 18:00:00,0.0,0.0,0.0,0.0
1951-10-11 18:00:00,0.0,0.0,0.0,0.0
1951-10-12 18:00:00,0.0,0.0,0.0,0.0
1951-10-13 18:00:00,0.0,0.0,0.0,0.0
1951-10-14 18:00:00,0.0,0.0,0.0,0.0
1951-10-15 18:00:00,0.0,0.0,0.0,0.0
1951-10-16 18:00:00,0.0,0.0,0.0,0.0
1951-10-17 18:00:00,0.0,0.0,0.0,0.0
1951-10-18 18:00:00,0.0,0.0,0.0,0.0
1951-10-19 18:00:00,0.0,0.0,0.0,0.0
1951-10-20 18:00:00,0.0,0.0,0.0,0.0
1951-10-21 18:00:00,0.0,0.0,0.0,0.0
