time,hurs_mean,hurs_stdev,hurs_min,hurs_max
1951-06-27 12:00:00,96.624664,2.071606,93.432,98.772
1951-06-28 12:00:00,92.926,1.8240719,90.268,95.148
1951-06-29 12:00:00,82.19866,2.1895604,78.964,85.02
1951-06-30 12:00:00,78.648,1.7692229,76.248,80.748
1951-07-01 12:00:00,79.99333,0.4467048,79.4,80.568
1951-07-02 12:00:00,66.13267,0.21472985,65.872,66.456
1951-07-03 12:00:00,80.89467,1.8223331,78.188,83.384
1951-07-04 12:00:00,83.709335,1.1485243,82.052,85.372
1951-07-05 12:00:00,79.53333,1.929935,76.544,81.908
1951-07-06 12:00:00,75.208,1.8456498,72.42,77.492
1951-07-07 12:00:00,75.318,1.7800692,72.524,77.512
1951-07-08 12:00:00,75.02267,0.30462918,74.644,75.536
1951-07-09 12:00:00,83.35533,1.7770293,80.864,85.36
1951-07-10 12:00:00,71.85066,1.6620349,69.428,74.072
1951-07-11 12:00:00,63.689335,0.84623367,62.416,64.704
1951-07-12 12:00:00,76.06533,1.4253091,73.78,77.948
1951-07-13 12:00:00,76.434,1.6649752,74.008,78.6
1951-07-14 12:00:00,87.578,1.091962,85.908,88.876
1951-07-15 12:00:00,93.58133,1.1393787,91.76,94.996
1951-07-16 12:00:00,93.026,1.8310114,90.196,95.196
1951-07-17 12:00:00,75.06133,0.73106986,73.984,76.204
1951-07-18 12:00:00,83.30067,0.9315198,82.036,84.792
1951-07-19 12:00:00,74.52866,1.3995751,72.636,76.464
1951-07-20 12:00:00,86.506,2.1623795,83.568,89.512
1951-07-21 12:00:00,81.83467,1.2903352,80.084,83.444
1951-07-22 12:00:00,75.516,1.0776758,74.288,77.488
1951-07-23 12:00:00,81.704,0.9843122,80.088,82.952
1951-07-24 12:00:00,86.21267,0.8484831,85.044,87.592
1951-07-25 12:00:00,92.82066,1.4565082,90.7,94.54
1951-07-26 12:00:00,80.172,0.85765857,79.004,81.232
1951-07-27 12:00:00,75.70133,1.2119455,73.972,77.488
1951-07-28 12:00:00,70.81467,0.5812474,69.976,71.644
1951-07-29 12:00:00,73.293335,0.6424859,72.128,74.208
1951-07-30 12:00:00,73.954666,1.3866276,71.9,76.004
1951-07-31 12:00:00,61.223335,1.0955504,59.972,63.056
1951-08-01 12:00:00,71.09534,0.1713234,70.764,71.272
1951-08-02 12:00:00,82.181335,0.8923158,80.924,83.3
1951-08-03 12:00:00,84.782,1.8044041,82.008,86.916
1951-08-04 12:00:00,77.42333,0.30814233,76.92,77.736
1951-08-05 12:00:00,79.111336,1.5717009,76.644,80.84
1951-08-06 12:00:00,64.622,1.1826361,63.108,66.596
1951-08-07 12:00:00,78.18933,1.3202418,76.176,79.828
1951-08-08 12:00:00,91.87134,1.1295733,90.164,93.076
1951-08-09 12:00:00,92.68667,1.6959559,90.176,94.728
1951-08-10 12:00:00,89.295334,1.9735248,86.468,91.756
1951-08-11 12:00:00,81.844666,1.7013189,79.164,83.8
1951-08-12 12:00:00,77.124,1.492571,75.088,79.148
